,Мельбурн,Китай,Сузука,Сепанг,Сингапур,Монако,Барселона,Сильверстоун,Австрия,Хоккенхайм,Спа,Хунгароринг,Станбул,Баку,Франция,Бахрейн,Монца,Джида,Канада,Мексика,Бразилия,Майями,Кота,Абу Даби
Antonelli ,5,10,12,0,5,16,5,5,5,0,5,10,0,10,0,5,10,5,14,10,16,16,8,5
Russell,10,8,5,0,16,5,12,15,10,5,15,15,5,12,12,10,9,10,18,12,14,5,10,9
Leclerc,15,5,12,0,15,20,15,16,16,8,16,15,7,18,15,19,20,15,10,10,8,10,17,15
Hamilton,12,20,15,15,16,16,15,20,15,17,15,20,15,8,10,15,10,12,20,15,17,5,10,10
Norris,12,10,15,0,16,18,10,15,12,5,8,10,5,7,7,8,8,9,12,15,12,15,10,12
Piastri,10,15,15,0,8,10,14,12,15,0,15,12,0,12,0,12,15,15,10,8,8,10,8,10
Verstappen,14,12,15,10,5,16,15,15,16,15,20,15,12,14,16,15,15,15,15,15,20,15,15,15
Hadjar,7,8,8,0,7,12,10,8,8,0,8,10,0,10,5,8,8,8,7,8,10,5,5,5
Gasly,10,10,7,0,8,11,10,10,9,5,10,15,7,15,10,10,15,10,10,10,15,8,10,10
Colapinto,5,5,5,0,5,5,5,5,5,0,5,5,0,5,0,5,5,5,7,5,5,8,5,5
Lawson,5,5,5,0,5,7,5,5,5,0,5,5,0,10,0,5,5,5,5,5,5,5,5,5
Linblad,6,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearman,10,10,7,0,5,5,5,5,5,0,5,5,0,5,0,5,9,12,5,15,7,5,8,5
Ocon,7,5,8,5,6,15,10,10,5,10,8,17,,13,10,10,10,12,5,8,6,7,8,8
Sainz,15,10,12,7,16,10,10,10,12,10,12,12,10,15,15,12,15,15,12,18,12,12,15,12
Albon,10,7,8,5,8,11,9,8,12,10,9,10,10,12,10,10,10,10,10,10,10,10,10,10
Bortoleto,5,5,5,0,5,5,5,5,8,0,8,10,0,5,0,5,5,5,5,5,5,5,5,5
Hulkenberg,7,7,7,7,7,8,10,15,15,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10
Alonso,11,11,18,12,15,19,15,15,10,10,14,14,5,10,10,17,15,12,15,12,18,12,12,10
Stroll,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bottas,13,10,15,10,8,8,10,9,15,8,14,10,15,15,10,10,15,7,10,10,10,8,10,10
Perez,7,8,10,7,15,16,10,9,9,10,7,10,10,10,10,10,7,8,5,15,10,10,10,10
Tsunoda,5,5,10,0,5,5,5,5,5,0,5,5,0,5,0,5,5,5,5,5,5,5,5,5
Magnussen,6,6,6,5,5,5,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,7
Kubica,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,10,5,5,15,0,10,0,0,0
Giovinazzi,2,0,2,0,1,2,5,2,2,0,10,5,0,5,0,10,5,5,5,5,10,0,5,5
Zhou,5,5,2,0,5,5,5,2,2,0,5,5,0,5,5,5,5,5,5,5,5,5,5,5
De Vries,1,0,1,0,0,2,1,0,0,0,10,5,0,2,0,10,5,1,1,2,10,5,0,0
