,DownForce ,TypeTrack,Difficulty,QualifyingImpact,RainPossibility,Tyre
Мельбурн,1,1,70,1,15,65
Китай,1,0,78,1,25,80
Сузука,0,0,88,0,30,88
Сепанг,1,0,80,2,60,85
Сингапур,0,1,87,0,25,70
Монако,0,1,91,0,15,40
Барселона,0,0,75,0,15,92
Сильверстоун,0,0,8,1,35,88
Австрия,1,0,65,2,25,60
Хоккенхайм,1,0,72,1,25,70
Спа,1,0,86,2,40,82
Хунгароринг,0,0,80,0,15,90
Станбул,1,0,82,1,20,88
Баку,2,1,83,1,5,60
Франция,1,0,68,1,15,75
Бахрейн,1,0,70,2,2,85
Монца,2,0,65,1,15,55
Джида,0,1,85,0,1,65
Канада,2,1,74,1,30,68
Мексика,0,0,76,1,15,65
Бразилия,1,0,78,2,40,75
Майями,1,1,75,1,20,70
Кота,1,0,81,1,15,82
Абу Даби,1,0,70,1,1,65
